Yorum No,Havayolu,Kullanıcı Adı,Katkı Sayısı,Puan,Başlık / Ana Tema,Rota,Kategori,Seyahat Tarihi,Yorum Tarihi,"Yorum İçeriği (Tam Metin - Türkçe)",Olumlu/Olumsuz/Nötr
11,Pegasus,hasan k,1,1,rezalet,Istanbul - Vienna,Europe,Aralık 2025,7 Aralık 2025,"Bugün 7 Aralık 2025 İstanbul Sabiha Gökçen Havaalanı'ndan Viyana uçağı saat 13.15'te kalkacaktı. Uçak saatimiz 16.50'ye ertelendi. Daha sonra 50 dakika daha rötar eklendi. Yorgunluk içerisindeydik. Sebep teknik bir sorun olsa anlaşılırdı belki ama değil. Pegasus'un kendi çalışanları bize söyledi; Pegasus 180 kişilik uçakta 200 tane bilet satıyormuş. Devamlı yapıyormuş. Gelen olmazsa bu fazla satılan biletleri yedek yolcu ile dolduruyorlarmış. Daha çok kar amacıyla koltuk sayısından fazla bilet satılıyor. Eğer tüm yolcular gelirse fazla satılan bilet sahipleri bir sonraki uçağa bırakılıyor. Yani ücretini ödediğiniz uçuş planınız kabusa dönüşüyor ve şirketin umurunda değil. Bu firma müşteri saygısı sıfır olan bir firma. Uçağa binerken bilet kontrolündeki görevli parmak sallayarak tehditvari konuşmalar yapabiliyordu. Havalimanında 5-6 saat bekletilmek saygısızlıktır. Bavul tartma konusunda da bazı yolculardan fazla kilo için 100 Euro talep edildiğini gördüm. Bavullarımız küçük kafese sığmadığı için bavulları kırıp içindekileri cebime koydum. Hayatımda böyle kötü firma görmedim.",Olumsuz
12,Pegasus,Bay,7,1,Puan sistemi,?,?,Kasım 2025,5 Aralık 2025,"Pegasus puan sistemi kadar saçma bir sistem görmedim. Pahalı bileti almaya çalıştığımda puan ile satın alınamaz yazısı çıkıyor. Ucuz bileti almaya çalışınca vergisi neredeyse normal bilet fiyatına yaklaşıyor. Bu sistemi ya kaldırın ya da düzeltin.",Olumsuz
13,Pegasus,ozan d,1,1,REZALET,Antalya - Diyarbakır,Domestic,Kasım 2025,29 Kasım 2025,"Hayatımda gördüğüm en kötü firma. Koyun muamelesi yapılıyor. Hava şartlarıyla sorun var deniyor ama aynı şehre başka firmanın uçağı kalkıyor. Yağmurda yürütülüyor. Bir daha bu firmayla seyahat etmem.",Olumsuz
14,Pegasus,Ali Yagmur Küyük,1,1,Belgesiz Bagaj ücreti tahsilatı,Istanbul - Nuremberg,Europe,Temmuz 2025,28 Kasım 2025,"Pegasus benden ekstra bagaj ücreti olarak nakit 50 Euro aldı. Israrla istememe rağmen makbuz veya ödeme belgesi vermediler. 305A kapısındaki görevlilerin bu ücreti Pegasus'a bildirmeden aralarında paylaştıklarını düşünüyorum.",Olumsuz
15,Pegasus,emine k,1,1,Pegasus hiç kimseye tavsiye etmiyoruz berbat bir seyahat geçirdik,Marseille - Istanbul,Europe,Kasım 2025,26 Kasım 2025,"Eşimle birlikte memnun kalmadık. Uçağa binmeden bavulları tarttıktan sonra uçağın altına göndermek için görevlinin yanına gittik. Yük hakkımızı fazlasıyla geçtiği için ekstra ödeme yapmamız gerektiği söylendi. Önceden tartmamıza rağmen sorun olmadığı halde para talep edildi. Uçakta yiyecek ve içecekler paralıydı. Oturduğumuz alan çok dardı. Kimseye tavsiye etmiyoruz.",Olumsuz
16,Pegasus,Mine T,1,1,Pegasus pişmanlıktır kesinlikle tercih etmeyin,Nicosia - Istanbul,Europe,Kasım 2025,26 Kasım 2025,"Pegasus’u kesinlikle tercih etmeyin. Haftasonu Kıbrıs dönüşümde 2 şişe viskim kırıldı, çantam ve eşyalarım çöp oldu. Hiçbir şekilde kendilerini kusurlu görmüyorlar. Başka havayolu kullanın, mağdur olmayın.",Olumsuz
17,Pegasus,Özcan V,1,1,Rötar + Rötar + Rötar Bir hafta içinde 3 uçuş üçü de rötarlı,Istanbul - Bodrum District,Domestic,Kasım 2025,20 Kasım 2025,"Bir hafta içinde 3 uçuş, üçü de rötarlı. Sebep hem komik hem düşündürücü. Kapılar 08:15'te kapanıyor. Kaptan 08:40'da anons yaptı; tekerler değişmesi gerekiyormuş, biraz gecikme olacak. Lütfen lavaboları kullanmayın; takdir sizin. Çok mecbur kalmadıkça asla PEGASUS.",Olumsuz
18,Pegasus,Timur I,2,1,Dolandırıcılıkta ihtisas sahibi bir firma,Amsterdam - Istanbul,Europe,Kasım 2025,15 Kasım 2025,"Kabin bagajı satın almamıza rağmen kabin bagajımızı uçak altına alarak ekstra 50 Euro para aldılar. Bu kadar adi ve basit şeylerle para kazanmaya çalışan bir havayolundan tiksiniyor insan. Türk oldukları için.",Olumsuz
19,Pegasus,Happiness05094446750,1,5,Türkiye Fransa uçuşu ve Fransa Türkiye Uçuşum,Marseille - Istanbul ,Europe,Kasım 2025,15 Kasım 2025,"Gerek pilot gerekse kabin personeline teşekkür borç bilirim. Nezaketleri, iş ciddiyetleri ve çabuklukları harikaydı. Zamanında kalkış ve planlanan saatte inmeleri mükemmeldi. Türkiye için Pegasus övüneceğimiz bir markadır.",Olumlu
20,Pegasus,gonca c,1,1,"Bebekli anneyim, yanıma iki erkek oturtuldu bütün uçuşlarımda",Nicosia - Gaziantep,Europe,Kasım 2025,5 Kasım 2025,"Merhaba, ben 11 aylık bebeğimle Kıbrıs Hava Yolları Ercan’dan Gaziantep’e yolculuk yaptım. O kadar berbat geçti ki anlatamam. Gaziantep dönüşü ve Ercan dönüşü olarak rica etmeme rağmen yanıma hep iki erkek yolcu oturdular. Bunu daha önce de çok yaşadım, bebeğimden önce ve sonra da. Check-in yaparken umursamıyorlar. Bebekli bir anne olarak bebeğim diş çıkarma süresinde benim için çok berbat bir yolculuktu. Stres altında eziyetli bir yolculuk geçirdim. Lütfen bebekli annelerin yanına iki erkek vermeyin, kadınları kadınlarla oturtun.",Olumsuz
21,Pegasus,Furkan Ş,2,1,5 saatlik rötar,Izmir - Antalya,Domestic,Ekim 2025,4 Kasım 2025,"Uçak kalkış saatim 01:20 iken 3 defa ertelendi. Bir sonraki ertelemeye kadar uyumadan bekledim. Ertelemeler tarafıma bildirilmedi. Uçuş 06:30'da gerçekleştirildi. Gece boyunca uykusuz kaldım ve sabah erken işe başlamam gerekiyordu. Pegasus sayfasına yönlendirildim. Her şeyi yazmama rağmen geri dönüş sağlanmadı. Paramızla rezil olduk. Otobüsle gitmediğime pişman oldum.",Olumsuz
22,Pegasus,Barış D,1,1,Pegasus ile bir daha asla,Istanbul - Antalya,Domestic,Ekim 2025,31 Ekim 2025,"Uçağımız Sabiha Gökçen Havalimanı'ndan Antalya'ya 30 Ekim 2025 tarihinde kalkacaktı. Uçuş saatimiz 3 kere değişti ve yaklaşık 2.5 saat rötar yaptı. O gün bütün işlerimiz alt üst oldu. Planlama ve alternatif B planı yoktu. Uçuş saati bir kez değişse anlarız ama 3 kere değişmesi kabul edilemez. Pegasus pişmanlıktır.",Olumsuz
23,Pegasus,Sevinç Ö,1,5,Hostesler çok güleryüzlüydü,Bonn - Istanbul,Europe,Ağustos 2025,24 Ekim 2025,"Hostesler o kadar güleryüzlüydüler ki beni çok rahatlattılar. Gerçekten çok güzel bir şirket. Hayatımın en zor gününü geçirirken çok yardımcı oldular. Her zaman Pegasus iyi ki varsın.",Olumlu
24,Pegasus,Mustafa,2,1,Bebek arabası kayboldu,Warsaw - Antalya,Europe,Ekim 2025,11 Ekim 2025,"Bebek arabamızı kaybettiler. 14 gün bebek arabasız tatil yaptık. Tazminat için 21 gün geçmesi gerektiğini söylediler. 21 gün sonunda tazminat için rapor oluşturduk. Sonuç olarak bebek arabanıza ulaşılmıştır denildi. Kaybettiklerini kabul ediyorlar ama tazminat hakkınızı engellemek için her yolu deniyorlar.",Olumsuz
25,Pegasus,Burak A,1,5,Fiyat Performans,Antalya - Istanbul,Domestic,Ekim 2025,8 Ekim 2025,"Çok iyi. Hiç rötar yaşamadım. Uçaklar tam zamanında kalkıyor. Fiyatları uygun ve sorunsuz bir havayolu şirketi. Fiyat performans açısından çok iyi.",Olumlu
26,Pegasus,Roving06514000139,2,5,Her zaman tercihim Pegasus,Kayseri - Istanbul,Domestic,Ekim 2025,7 Ekim 2025,"Her zaman ucuz. Zamanında kalkış. Güler yüzlü personel. Güvenli seyahat. Teşekkürler Pegasus. Yıllardır sorunsuz şekilde keyifli uçuş yaşattığın için tüm çalışanlara teşekkürler.",Olumlu
27,Pegasus,Coşkun Ç,2,1,Bagaj hizmeti ve çalışanlarının lakayitliği,Amsterdam - Istanbul,Europe,Eylül 2025,2 Ekim 2025,"29.10.2025 tarihinde PC1258 sefer sayılı Amsterdam-İstanbul Sabiha Gökçen uçuşumda bagajımda ciddi hasar oluştu. Uçuş sonrası bagajımı teslim aldığımda kırık ve kullanılamaz durumda olduğunu gördüm. Havalimanında bagaj ofisine başvurdum. Orada bulunan çalışanlar sadece numaramı ve mail adresimi aldı, herhangi bir tutanak düzenlemeden beni hasarlı bavulumla gönderdiler. Ayrıca gece 01:05'te tekrar havalimanına gelmem gerektiği söylendi. O günden bu yana kimse tarafından aranmadım ve mağduriyetim giderilmedi.",Olumsuz
28,Pegasus,Ertuğrul B,1,1,Unehrliches Unternehmen,Istanbul - Bonn,Europe,Eylül 2025,2 Ekim 2025,"Pegasus maalesef dakiklik konusunda güven vermiyor. Ekstra hizmetler (örneğin eğlence paketi) çalışmıyor. Uçuş sırasında kabin ekibi ücretin iade edileceğini söylese de müşteri hizmetleri hiçbir sorun tespit edilmediğini söyleyerek ödemeyi reddediyor. Uçuşların sık sık fazla satılması yolcular için stres yaratıyor.",Olumsuz
29,Pegasus,Eda Y,1,1,Pegasus müşterilerine saygı duymayan kurum…,Diyarbakır - Istanbul,Domestic,Eylül 2025,25 Eylül 2025,"Pegasus’un sistematik uçuş gecikmeleri kabul edilemez boyuttadır. Zaman yönetimine ve müşteri memnuniyetine gösterilen umursamazlık profesyonel bir hava yolu şirketi için utanç vericidir. Yolcular sürekli belirsizlik içinde bekletilmektedir.",Olumsuz
30,Pegasus,YeicGeztoz✔,34553,3,Pegasus Airlines,Istanbul - Antalya,Domestic,Eylül 2025,25 Eylül 2025,"İstanbul Sabiha Gökçen Havalimanından kısa süreli bir gecikme sonrası uçuş başladı ve Antalya Havalimanına ininceye kadar rahat bir yolculuk yaptık. Uçak piste çok sert ve süratli inince pas geçip tekrar havalandı. İkinci denemede başarılı bir şekilde indik.",Nötr
31,Pegasus,Yasemin K,1,5,Esenboğa Pegasus Personel Teşekkür,Ankara - Istanbul,Domestic,Eylül 2025,8 Eylül 2025,"Bu sabahki uçuşumda valiz etiketi çıkarırken sabahın erken saatinde güler yüzlü ve nazik hanımefendiye çok teşekkür ederim. Sabihadan her uçuşumda belirtirim ki Ankara Pegasus personelleri diğer şubelerden çok daha nezaketli ve yardımcı. Uçuş öncesi yaşadığım stresi büyük ölçüde azalttılar ve güven verici bir deneyim sundular. Personelin bu yaklaşımı yolculuk boyunca kendimi rahat hissetmemi sağladı, check-in süreci sorunsuz geçti ve tüm işlemler hızlı bir şekilde tamamlandı. Bu tür profesyonellik ve nezaket, hava yolu şirketleri arasında fark yaratıyor ve yolculuğunuzun keyifli başlamasında büyük rol oynuyor.",Olumlu
32,Pegasus,Bahar O,1,1,Rezalet...,Izmir - Nicosia,Europe,Eylül 2025,5 Eylül 2025,"Böyle bir deneyim hiç yaşamadım. Uçak 19:45’te kalkacakken önce 20:10’a, sonra 20:30’a ertelendi. Gecikmenin sebebi ise el çantamın 4,5 kg olmasıydı. Uçak içine çantam alınmadı, alt bagaja gönderildi. Benim gibi en az 30 kişi aynı durumda kaldı ve bu nedenle uçak geç kalktı. Üstüne bir de 1000 TL bagaj ücreti aldılar, bu durum son derece haksız ve can sıkıcı. Uçuş sırasında yaşanan belirsizlik ve ekstra ücret talepleri, Pegasus’un yolcu haklarına yeterince önem vermediğini gösteriyor. İşim gereği sık sık uçuş yapıyorum ve bu tür prosedürler, zaman ve para kaybı anlamına geliyor. Bu nedenle bir daha uçmayı düşünmüyorum. Yolcuların kendi çantalarını tartmaları ve 3 kg’dan fazla ise ek ücret ödemeleri gerektiğini önceden bilmeleri gerekiyor.",Olumsuz
33,Pegasus,Emrecan C,2,1,Rezillik!,Samsun - Munich,Europe,Ağustos 2025,4 Eylül 2025,"28.08.2025 tarihinde Samsun-İstanbul Sabiha Gökçen uçuşum tam bir kaosla başladı. Kalkış saati önce 13:50 olarak planlanmıştı, ardından yarım saat gecikme yaşandı. Daha sonra uçak geldi ve bir buçuk saat gecikmeli kalktık. Münih uçuşumuz 17:00’deydi, fakat Samsun-İstanbul uçuşundaki gecikme nedeniyle Münih uçağını kaçırdık. Pegasus çalışanlarının süreç yönetimindeki hataları, sistemde yanlış kalkış saatlerinin gösterilmesi ve müşterilere verilen yanlış bilgiler yüzünden ciddi mağduriyet yaşadık. 800 Euro ödediğimiz bilet için iade alamadık ve hiçbir özür veya telafi sunulmadı. Yolcuların değerinin hiçe sayıldığı ve şirketin iletişim konusunda tamamen yetersiz kaldığı net bir şekilde görülüyor. Bu tür bir deneyim, uçuş güvenliği kadar müşteri memnuniyeti açısından da büyük sorun teşkil ediyor.",Olumsuz
34,Pegasus,denizkyc,6,1,Uçuş gecikme tazminat talebi,Podgorica - Ankara,Europe,Ağustos 2025,2 Eylül 2025,"Podgorica (TGD) – Ankara (ESB) uçuşu 3 saat 12 dakika gecikti. Avrupa Birliği EC261/2004 düzenlemesi ve Türkiye Sivil Havacılık Genel Müdürlüğü (SHGM) Yolcu Hakları Yönetmeliği kapsamında, varıştaki 3 saatten fazla gecikmeler tazminat hakkı doğurur. Mesafe kriterine göre (uluslararası uçuş, 1500–3500 km → €400) hak ettiğimiz tazminatın ödenmesini talep ediyoruz. Yolcuların haklarını bilmeleri ve gerektiğinde talepte bulunmaları gerektiğini vurgulamak istiyorum. Bu gibi gecikmeler yolculuk planlarını ciddi şekilde etkileyebilir ve şirketlerin sorumluluklarını yerine getirmesi önemlidir. Bu durum, havayolu şirketlerinin Avrupa ve Türkiye mevzuatına uyması gerektiğini bir kez daha gösteriyor.",Olumsuz
35,Pegasus,Seaside52572147196,1,1,Uçuş İptali,Tbilisi - Istanbul,Europe,Ağustos 2025,2 Eylül 2025,"30 Ağustos Cumartesi günü Gürcistan’da bulunduğum sırada ertesi gün dönüş uçuşumun iptal edildiği bildirildi. Bu durum, planlarımı ciddi şekilde aksattı ve önemli mağduriyet yaşamama sebep oldu. Uçuş iptali hakkında çok kısa süreli bilgilendirme yapılması, konaklama, ulaşım ve günlük programlarımızı olumsuz etkiledi. Ailemle birlikte zor bir durum yaşadık ve alternatif düzenlemeler yapmamız gerekti. Bu tür iptallerin daha önceden ve düzenli bir şekilde bildirilmesi, yolcuların mağduriyetini önlemek açısından çok önemlidir.",Olumsuz
36,Pegasus,Hatice K,1,1,Kontrol görevlileri çok kaba ve ukala. Nezaket kurallarının öğretilmesi şart.,Elazığ Province - Amsterdam,Europe,Ağustos 2025,27 Ağustos 2025,"Kötünün ötesinde kaliteli hizmet yerine birkaç kilo bagaj peşine düşmüşler. Bir kilo için 50 Euro talep ediliyor. Görevliler çok kaba. Bir daha asla Pegasus dışındaki havayollarını tercih edeceğim.",Olumsuz
37,Pegasus,Çiğdem B,6,1,Bebekli ailelere uygunsuz yer hizmetleri – hayal kırıklığı!,Dalaman - Stuttgart,Europe,Ağustos 2025,13 Ağustos 2025,"Bebekli aile olarak bu uçuşumuz en kötü deneyimlerimizden biri oldu. Online check-in sırasında bagaj hakkımız konusunda bilgi karmaşası yaşandı. Bebek arabası kutusuyla teslim edilmek istendiğinde kabul edilmedi ve bagaj hakkımıza dahil edildi. Görevli kişi 58 kg bagajımız için 6000 TL ödeme talep etti ve ismi sorulduğunda polis çağırmakla tehdit etti. Koltuklarımız karıştırıldı ve bebeğimiz koridor koltuğuna yerleştirildi. Uçak geç kalktı ve bebeğimizin uykusu bölündü. El bagajımız izinsiz açıldı ve içine “şüpheli görüldüğü için arandı” notu bırakıldı. Pegasus yer hizmetleri donanımsız ve empati yoksunu.",Olumsuz
38,Pegasus,Hilal A,1,1,Hiç beğenmedim,Erzincan - Istanbul,Domestic,Ağustos 2025,9 Ağustos 2025,"Uçak içindeki fiyatlar cafe bölümündeki QR kod fiyatları ile aynı değildi. Uçak içinde varış noktasını gösteren bir ekran da yoktu. Can sıkıntısı yaşadım ve yolculuk mecburi bir seyahate dönüştü.",Olumsuz
39,Pegasus,Olgatay,6,1,Pegasus havayolları sorumluluğu başından atıyor,Antalya - St. Petersburg,Russia,Ağustos 2025,7 Ağustos 2025,"Bagajımı hasarlı teslim aldım. Müşteri hizmetleri sorunu benim sorunum gibi değerlendirdi. Ucuz havayolu olsa da sorumluluğu reddetmeleri kabul edilemez.",Olumsuz
40,Pegasus,Necati Ö,1,1,Koltuk mesafesi rezaleti,Bonn - Bodrum District,Europe,Temmuz 2025,29 Temmuz 2025,"Koltuk aralıkları çok dardı. Dizlerim ön koltuğa değecek kadar sıkıştım. Fazladan koltuk sığdırmak için konforun düşürüldüğünü düşünüyorum. Dönüş uçuşum farklı bir havayolundaydı ve orada daha rahat bir diz mesafesi vardı.",Olumsuz
41,Pegasus,Gezgin Kaşif,1,1,Deneyim Rezalet,Ankara - Windhoek,International,Temmuz 2025,27 Temmuz 2025,"Pegasus Airlines iyi bir yer olarak bilirdim ancak son yaptığım seyahatte yemek hizmeti yoktu ve genel hizmet seviyesi çok düşüktü. Tam anlamıyla hayal kırıklığı yaşadım. Pegasus tercih edilirse dikkat edilmesi gerektiğini düşünüyorum.",Olumsuz
42,Pegasus,Şengül Ceylan eravci,18,4,Yorucu,Antalya - Istanbul,Domestic,Temmuz 2025,1 Temmuz 2025,"Uçuşum son dakika iki kez rötar saati değişti. 01 Temmuz 2025 olan uçuşumuzu maalesef 02 Temmuz 2025 tarihinde yapmak zorunda kaldık. Bagaja verdiğimiz iki valizimiz de parçalanmıştı. Ancak ilgili bölüme gittiğimizde yaklaşık 40 saniye içinde iki adet valiz verilerek mağduriyetimiz giderildi. Verilen valizler bizim valizlerimizin kalitesinde değildi.",Olumsuz
43,Pegasus,sinan d,1,1,Pegasus fazla yük,Istanbul - Munich,Europe,Haziran 2025,26 Haziran 2025,"Fazla bagaj durumunda çalışanların iletişim tarzı saygısızcaydı. Yüküm fazla olunca ödeme yapmazsam kapıyı kapatıp uçağı göndereceklerini söylediler. Yolculara yardımcı olunmadığını düşünüyorum.",Olumsuz
44,Pegasus,asli b,1,1,Garbage system,Oslo - Diyarbakır,Europe,Haziran 2025,18 Haziran 2025,"Bu havayolu şirketi çöpten başka bir şey değil. Sürekli mağduriyet yaşatıyorlar. Hizmet kalitesi çok düşük. Bir yıldız bile hak etmiyor.",Olumsuz
45,Pegasus,Bülent B,1,1,Siz koyun musunuz,Nicosia - Istanbul,Europe,Haziran 2025,17 Haziran 2025,"Müşterilerini sadece para olarak gören ilgisiz bir firma. Uçakta neredeyse nefes almaya bile ücret alacaklar. Bilet fiyatı ödeme aşamasında birkaç kat artıyor. Müşteri memnuniyeti çok düşük.",Olumsuz
46,Pegasus,Nusrettin Y,2,1,Bir daha asla tövbe Pegasusla yolculuk yapmak,Istanbul - Copenhagen,Europe,Nisan 2025,6 Haziran 2025,"Danimarka’da yaşamaktayım. Buradan giderken el bagajının kilosuna hiç bakılmadı. Dönüşte iki kişilik biletimiz vardı ve el valizimizde kişi başı 3 kg hakkımız olmasına rağmen valizimizde 1,8 kg fazlalık çıktı. Üç tane ekmek ve biraz kuru yemiş almıştık. Personel 50 Euro bagaj fazlalık ücreti ödememizi söyledi. Ekmekleri el bagajından çıkarıp poşeti elime aldım ancak ona da izin verilmedi. Daha sonra eşyaları kendilerine bırakmak zorunda kaldım. Bir daha Pegasus ile yolculuk yapmayacağım. Türk Hava Yolları daha pahalı olsa da çok daha iyi hizmet veriyor.",Olumsuz
47,Pegasus,emre a,1,1,Pegasus pişmanlıktır. Paranızla rezil olmayın.,Nicosia - Antalya,Europe,Haziran 2025,6 Haziran 2025,"Bilet fiyatı ekonomik görünse de iptal hakkı olmayan biletler ve kabin bagaj haklarının sınırlı olması sorun oluşturuyor. 12 kg bagaj için 1500 TL ek ücret ödemek zorunda kalınabiliyor. Check-in’i 1 dakika ile kaçırınca sonraki uçuşa yönlendirme yapılıyor ve ekstra ücret isteniyor. Bu nedenle havayolunu tavsiye etmiyorum.",Olumsuz
48,Pegasus,Curiosity60527927980,1,1,İlgisizlik ve mağduriyet,Frankfurt - Antalya,Europe,Nisan 2025,26 Mayıs 2025,"15 Mayıs’ta Almanya’ya gittim. 17 Mayıs’ta Frankfurt Havalimanı’nda uçağa binecektim. 1,5 saat önce oradaydım ancak bagaj check-in’in kapandığını söylediler. Ekstra ücret ödeyerek uçağa binmek istedim ancak kalabalık nedeniyle yardımcı olunmadı. Kapıya 7 dakika kala geldiğimde kapı kapatılmıştı ve ismim anons edilmedi. Bagajımdan bazı eşyalar kayboldu ve kimse yardımcı olmadı. Mağduriyetimin giderilmesini istiyorum.",Olumsuz
49,Pegasus,fulya d,1,1,Terrible experience, Istanbul - Dublin,Europe,Mayıs 2025,23 Mayıs 2025,"17 Mayıs 2025 tarihli PC1157 İstanbul–Dublin uçuşu 4 saat gecikti. 3 saat uçakta bekledik. Yemek satın almak istediğimizde kalmadığı söylendi, sadece kek ve su verildi. Gecikme için önce hava durumu sonra ekip değişikliği gerekçe gösterildi. Müşteri memnuniyeti sağlanmadı ve tazminat teklif edilmedi.",Olumsuz
50,Pegasus,Nail D,2,1,Ultra nazik görevliler,Istanbul - Bodrum District,Domestic,Mayıs 2025,21 Mayıs 2025,"Yer hizmetlerinde çalışanların bilgi seviyesi yetersiz ve iletişimleri sertti. Sürekli yanlış yönlendirme yapılıyor ve bağırma tarzı iletişim kuruluyor. Hizmet kalitesinin artırılması gerektiğini düşünüyorum.",Olumsuz
51,Pegasus,Yusuf C,7,1,Pegasus pişmanlıktır,Diyarbakır - Nicosia,Europe,Mayıs 2025,5 Mayıs 2025,"3 Mayıs 2025 tarihinde Diyarbakır çıkışlı Ercan Havalimanı’na iki kişilik bilet satın aldım. Bileti 17768 TL’ye alırken 3 gün sonra aynı biletin 10998 TL’ye düştüğünü gördüm. Bu nedenle fiyat farkından dolayı yaklaşık 6770 TL kayıp yaşadım. Müşteri hizmetlerini aradığımda fiyatların anlık değiştiği söylendi. Daha sonra bilet fiyatı 9258 TL’ye düştü ve toplam kaybım 8420 TL oldu.",Olumsuz
